Wall time,Step,Value
1521278473.7942145,3907,0.6114000082015991
1521278944.0737936,7814,0.7124999761581421
1521279413.7389724,11721,0.7700999975204468
1521279882.9535298,15628,0.7773000001907349
1521280352.9979904,19535,0.7925000190734863
1521280823.2702851,23442,0.7943999767303467
1521281291.8811004,27349,0.8098999857902527
1521281761.9724627,31256,0.7980999946594238
1521282233.1310298,35163,0.7954999804496765
1521282701.055051,39070,0.8202000260353088
1521283170.343917,42977,0.8490999937057495
1521283641.5677416,46884,0.8478000164031982
1521284110.2637002,50791,0.8482999801635742
1521284579.2415864,54698,0.8465999960899353
1521285049.0731375,58605,0.848800003528595
1521285518.3748393,62512,0.850600004196167
1521285988.6126008,66419,0.8496999740600586
1521286458.1162806,70326,0.8495000004768372
1521286928.0884159,74233,0.8489000201225281
1521287397.3532388,78140,0.8503000140190125
1521287867.7801533,82047,0.8503000140190125
1521288337.0225847,85954,0.8503000140190125
1521288806.3074038,89861,0.8504999876022339
1521289274.4112158,93768,0.8504999876022339
1521289743.6691954,97675,0.8503999710083008
