Wall time,Step,Value
1521042615.7547905,3907,1.961059808731079
1521043257.6887043,7814,1.3714927434921265
1521043915.4651499,11721,1.805116057395935
1521044567.549428,15628,4.599184036254883
1521045217.3459966,19535,2.5049936771392822
1521045870.580871,23442,1.1086465120315552
1521046521.7628336,27349,2.373584747314453
1521047173.1675358,31256,2.161510705947876
1521047826.474023,35163,1.2844897508621216
1521048480.9444737,39070,2.026834726333618
1521049134.9539099,42977,1.580222487449646
1521049788.2558496,46884,1.5129345655441284
1521050442.5218585,50791,2.228012800216675
1521051097.5485878,54698,1.869718313217163
1521051750.3833854,58605,1.472217321395874
1521052407.7645977,62512,1.7898480892181396
1521053059.0008354,66419,4.9929375648498535
1521053714.2012773,70326,1.1175167560577393
1521054364.0478117,74233,1.9127960205078125
1521055017.6121588,78140,2.945847749710083
1521055667.3844414,82047,1.2178807258605957
1521056321.5460997,85954,1.8945281505584717
1521056972.7177377,89861,2.5333306789398193
1521057626.231294,93768,1.2230993509292603
1521058280.2600942,97675,1.3532426357269287
