Wall time,Step,Value
1520975596.421217,3907,0.650600016117096
1520976245.2643528,7814,0.7401000261306763
1520976899.7710826,11721,0.7851999998092651
1520977557.45292,15628,0.7958999872207642
1520978212.4912276,19535,0.8036999702453613
1520978859.8592272,23442,0.8094000220298767
1520979501.5055869,27349,0.8155999779701233
1520980148.313555,31256,0.7997000217437744
1520980800.1357365,35163,0.8152999877929688
1520981446.522038,39070,0.8256000280380249
1520982095.440899,42977,0.8292999863624573
1520982746.5063004,46884,0.8234000205993652
1520983396.1677551,50791,0.8234000205993652
1520984041.9394884,54698,0.8309999704360962
1520984685.6516767,58605,0.8070999979972839
1520985328.3935606,62512,0.8450999855995178
1520985976.9902701,66419,0.8277000188827515
1520986622.8161566,70326,0.8213000297546387
1520987265.2180514,74233,0.8317000269889832
1520987905.6295066,78140,0.8331999778747559
1520988553.2409036,82047,0.8159000277519226
1520989200.3126526,85954,0.8294000029563904
1520989850.133605,89861,0.8519999980926514
1520990499.4004135,93768,0.8313000202178955
1520991149.7696018,97675,0.8206999897956848
